Time(ms),Sensor,AQI,TVOC,ECO2,Rs0,Rs1,Rs2,Rs3,Temp(C),Humidity(%)
173576,3,2,144,619,122950,1,106046,50535,33.41,39.60
173578,4,2,162,644,96818,1,99374,44874,33.41,39.60
176594,0,2,145,619,107382,1,86323,45950,33.48,39.36
176595,1,2,214,710,104125,1,85798,41909,33.48,39.36
176597,2,2,217,714,93564,1,95613,47532,33.48,39.36
176598,3,2,143,617,124331,1,105974,50620,33.48,39.36
176600,4,2,166,649,97607,1,98871,44647,33.48,39.36
179618,0,2,120,582,109957,1,86177,47596,33.58,39.15
179619,1,2,202,696,104125,1,87855,42466,33.58,39.15
179621,2,2,212,708,96164,1,94040,47806,33.58,39.15
179622,3,2,142,616,123576,1,107746,50672,33.58,39.15
179624,4,2,159,639,98503,1,98470,45087,33.58,39.15
182640,0,2,127,593,111758,1,87974,47099,33.68,38.92
182641,1,2,208,703,106297,1,87796,42193,33.68,38.92
182643,2,2,207,702,96523,1,97080,48066,33.68,38.92
182644,3,2,131,598,124289,1,108185,51536,33.68,38.92
182646,4,2,161,642,98038,1,103914,44935,33.68,38.92
185664,0,2,124,587,111493,1,85537,47355,33.79,38.72
185665,1,2,217,713,105902,1,87618,41781,33.79,38.72
185667,2,2,209,704,95872,1,98737,47984,33.79,38.72
185668,3,2,126,591,125006,1,108883,51904,33.79,38.72
185670,4,2,161,642,101104,1,103108,44965,33.79,38.72
188686,0,2,126,591,112784,1,87974,47195,33.88,38.59
188687,1,2,193,684,108148,1,89325,42957,33.88,38.59
188689,2,3,227,726,95969,1,96850,47004,33.88,38.59
188690,3,2,133,602,127484,1,110666,51345,33.88,38.59
188692,4,2,171,656,98804,1,102725,44361,33.88,38.59
191710,0,2,112,570,110816,1,86791,48163,33.97,38.38
191711,1,2,207,701,108075,1,88662,42265,33.97,38.38
191713,2,2,203,697,96099,1,99441,48294,33.97,38.38
191714,3,2,134,604,126538,1,111342,51258,33.97,38.38
191716,4,2,162,644,101207,1,101481,44859,33.97,38.38
194732,0,2,135,605,111985,1,90236,46561,34.08,38.19
194733,1,2,164,647,108478,1,87559,44496,34.08,38.19
194735,2,2,199,692,98038,1,99913,48507,34.08,38.19
194736,3,2,138,610,130806,1,111795,50964,34.08,38.19
194738,4,2,161,642,101998,1,103563,44965,34.08,38.19
197756,0,2,126,591,114437,1,89506,47211,34.17,37.98
197757,1,2,191,682,109845,1,89083,43030,34.17,37.98
197759,2,2,203,697,100286,1,101344,48294,34.17,37.98
197760,3,2,128,594,127441,1,109141,51746,34.17,37.98
197762,4,2,146,621,102205,1,102830,45841,34.17,37.98
200778,0,2,121,583,113626,1,91838,47564,34.31,37.98
200779,1,2,190,680,106911,1,90542,43103,34.31,37.98
200781,2,2,191,682,98204,1,99307,48985,34.31,37.98
200782,3,2,124,588,127484,1,112975,52010,34.31,37.98
200784,4,2,150,627,102032,1,104020,45594,34.31,37.98
203802,0,2,111,567,113626,1,91188,48261,34.46,37.87
203803,1,2,197,689,108809,1,90911,42754,34.46,37.87
203805,2,2,183,672,99745,1,100320,49469,34.46,37.87
203806,3,2,125,589,130099,1,115918,51974,34.46,37.87
203808,4,2,136,606,103248,1,110031,46498,34.46,37.87
206824,0,2,110,566,111985,1,91034,48327,34.54,37.46
206825,1,2,195,687,111041,1,90726,42826,34.54,37.46
206827,2,2,168,652,100728,1,102032,50415,34.54,37.46
206828,3,2,120,582,129660,1,115175,52327,34.54,37.46
206830,4,2,138,608,102136,1,107673,46403,34.54,37.46
209848,0,2,133,602,115370,1,92243,46687,34.64,37.19
209849,1,2,176,662,110068,1,91652,43868,34.64,37.19
209851,2,2,208,703,100049,1,101825,48033,34.64,37.19
209852,3,2,129,595,128785,1,115058,51676,34.64,37.19
209854,4,2,144,618,103774,1,107346,45966,34.64,37.19
212870,0,2,108,563,116115,1,92150,48474,34.77,36.97
212871,1,2,171,655,110666,1,91994,44136,34.77,36.97
212873,2,2,202,696,100049,1,101687,48359,34.77,36.97
212874,3,2,117,577,129353,1,113588,52576,34.77,36.97
212876,4,2,147,622,104090,1,106550,45795,34.77,36.97
215894,0,2,115,573,113896,1,92056,47984,34.82,36.76
215895,1,2,181,669,110367,1,92525,43587,34.82,36.76
215897,2,2,201,694,101653,1,102378,48441,34.82,36.76
215898,3,2,116,576,131560,1,117220,52629,34.82,36.76
215900,4,2,143,616,105688,1,107564,46059,34.82,36.76
218918,0,2,109,565,113089,1,93881,48392,34.93,36.62
218919,1,2,194,686,111909,1,92776,42870,34.93,36.62
218921,2,2,192,683,100797,1,104939,48952,34.93,36.62
218922,3,2,104,555,133579,1,117419,53673,34.93,36.62
218924,4,2,135,605,105402,1,110629,46561,34.93,36.62
221940,0,2,95,541,113935,1,92901,49485,35.02,36.49
221941,1,2,170,655,113243,1,93659,44166,35.02,36.49
221943,2,2,190,681,102240,1,105509,49052,35.02,36.49
221944,3,2,109,564,133308,1,116706,53220,35.02,36.49
221946,4,2,127,593,106225,1,109252,47099,35.02,36.49
224964,0,2,114,572,117339,1,95516,48066,35.07,36.24
224965,1,2,162,644,113396,1,95872,44617,35.07,36.24
224967,2,2,175,661,101929,1,104549,49990,35.07,36.24
224968,3,2,116,576,132230,1,121009,52647,35.07,36.24
224970,4,2,139,611,107056,1,111947,46278,35.07,36.24
227986,0,2,108,562,116903,1,94008,48523,35.18,36.16
227987,1,2,169,654,112860,1,93406,44211,35.18,36.16
227989,2,2,185,675,101412,1,106369,49335,35.18,36.16
227990,3,2,111,568,132588,1,118256,53059,35.18,36.16
227992,4,2,129,596,105152,1,112212,46972,35.18,36.16
231010,0,2,102,553,116390,1,92525,48952,35.20,36.02
231011,1,2,160,641,111871,1,93564,44753,35.20,36.02
231013,2,2,186,676,102899,1,108920,49268,35.20,36.02
231014,3,2,115,574,134350,1,118376,52754,35.20,36.02
231016,4,2,126,590,105473,1,112975,47211,35.20,36.02
234032,0,2,98,547,115370,1,95677,49235,35.30,35.90
234033,1,2,180,668,113358,1,95807,43616,35.30,35.90
234035,2,2,175,662,105867,1,109104,49940,35.30,35.90
234036,3,2,131,598,136597,1,120437,51519,35.30,35.90
234038,4,2,123,587,107346,1,112023,47355,35.30,35.90
237056,0,2,95,541,117300,1,98503,49519,35.40,35.79
237057,1,2,168,651,116706,1,93786,44316,35.40,35.79
237059,2,2,178,666,101619,1,108148,49754,35.40,35.79
237060,3,2,102,553,139305,1,121009,53782,35.40,35.79
237062,4,2,132,600,107346,1,114708,46798,35.40,35.79
240078,0,2,97,544,115058,1,95775,49368,35.49,35.64
240079,1,2,163,644,113511,1,94583,44602,35.49,35.64
240081,2,2,177,664,105688,1,108588,49838,35.49,35.64
240082,3,2,107,560,137944,1,121543,53419,35.49,35.64
240084,4,2,124,589,107128,1,113128,47291,35.49,35.64
243102,0,2,96,543,117618,1,96982,49402,35.59,35.47
243103,1,2,152,629,113819,1,97640,45255,35.59,35.47
243105,2,2,167,651,105974,1,109067,50466,35.59,35.47
243106,3,2,107,561,137944,1,123994,53401,35.59,35.47
